,predicted,datetime
1442,1576.9937527820462,2019-11-27
1443,1645.714194218971,2019-11-28
1444,1589.75344030228,2019-11-29
1445,1678.4762852544654,2019-11-30
1446,1730.2133592984796,2019-12-01
1447,1771.5428543660223,2019-12-02
1448,1794.5582340583433,2019-12-03
1449,1540.189960842365,2019-12-04
1450,1622.0552952832718,2019-12-05
1451,1657.2354690033696,2019-12-06
1452,1610.1521726201718,2019-12-07
1453,1703.244784351963,2019-12-08
1454,1604.1772621915766,2019-12-09
1455,1636.911761410195,2019-12-10
1456,1638.2162104475062,2019-12-11
1457,1588.43790074997,2019-12-12
1458,1606.8727590122323,2019-12-13
1459,1647.093401423367,2019-12-14
1460,1624.9150297383496,2019-12-15
1461,1623.7620847773373,2019-12-16
1462,1668.0223471751078,2019-12-17
1463,1668.9907817633798,2019-12-18
1464,1754.9552126230337,2019-12-19
1465,1556.2805699734897,2019-12-20
1466,1660.8077314259338,2019-12-21
1467,1578.7236720810938,2019-12-22
1468,1698.6964977857233,2019-12-23
1469,1529.5489405343046,2019-12-24
1470,1659.2036287037538,2019-12-25
1471,1645.6170884876024,2019-12-26
