datetime,TotalActivePower,TotalReactivePower,Voltage,CurrentIntensity,Device_1,Device_2,Device_3,Rest_active_power
12/16/2015 17:00,152.024,8.2439995,8447.18,651.6,0,19,607,1907.7334
12/16/2015 18:00,217.932,4.802,14074.81,936,0,403,1012,2217.2
12/16/2015 19:00,204.01399,5.114,13993.95,870.2,0,86,1001,2313.2334
12/16/2015 20:00,196.114,4.506,14044.29,835,0,0,1007,2261.5667
12/16/2015 21:00,183.388,4.6,14229.52,782.8,0,25,1033,1998.4667
12/16/2015 22:00,132.008,3.3700001,14325.6,571.4,0,8,266,1926.1333
12/16/2015 23:00,123.696,4.286,14437.18,533.8,0,5,0,2056.6
12/17/2015 0:00,112.948,6.146,14457.71,487.6,0,28,0,1854.4667
12/17/2015 1:00,200.964,8.216,14426.9,854.8,0,1514,0,1835.4
12/17/2015 2:00,95.236,4.6940002,14749.12,412.2,0,34,0,1553.2667
12/17/2015 3:00,99.732,4.772,14670.81,432.4,0,46,0,1616.2
12/17/2015 4:00,132.946,5.6080003,14631.33,560,0,34,533,1648.7667
12/17/2015 5:00,119.804,3.614,14622.61,514,0,10,279,1707.7333
12/17/2015 6:00,78.198,5.69,14648.49,331.8,0,43,0,1260.3
12/17/2015 7:00,97.201996,3.588,14510.74,408.2,0,10,0,1610.0333
12/17/2015 8:00,113.434,7.114,14478.69,483,0,45,0,1845.5667
12/17/2015 9:00,152.944,4.754,14330.87,658.4,0,439,0,2110.0667
12/17/2015 10:00,217.734,11.676001,14126.46,932,533,1341,969,785.9
12/17/2015 11:00,148.26,12.042,14215.48,629.6,567,301,1031,572
12/17/2015 12:00,114.951996,17.642,14267.08,488.2,0,32,1039,844.8667
12/17/2015 13:00,99.646,10.292,14395.24,415.4,0,3,1057,600.76666
12/17/2015 14:00,125.558,15.444,14642.74,516,0,20,1094,978.6333
12/17/2015 15:00,179.124,5.316,14428.85,745.6,418,12,1062,1493.4
12/17/2015 16:00,199.562,5.588,14206.91,840.4,515,4,1030,1777.0333
12/17/2015 17:00,204.406,9.998,14053.79,870.6,0,28,1009,2369.7666
12/17/2015 18:00,221.826,8.104,14062.34,945,0,0,1010,2687.1
12/17/2015 19:00,174.504,15.91,13991.74,751,0,31,1001,1876.4
12/17/2015 20:00,201.69,16.29,14185.59,856.6,0,67,1027,2267.5
12/17/2015 21:00,182.446,16.078,14346.25,763,0,72,1050,1918.7667
12/17/2015 22:00,91.08,14.122,14531.54,383,0,25,150,1343
12/17/2015 23:00,26.264,13.308,14744.04,119.8,0,48,0,389.73334
12/18/2015 0:00,16.582,5.9440002,14676.45,73.4,0,2,0,274.36667
12/18/2015 1:00,18.798,9.114,14611.16,85,0,35,0,278.3
12/18/2015 2:00,17.068,6.544,14813.46,75.4,0,0,0,284.46667
12/18/2015 3:00,18.596,8.866,14743.91,84,0,34,0,275.93335
12/18/2015 4:00,61.58,4.8,14730.42,250.6,0,4,753,269.33334
12/18/2015 5:00,17.61,7.316,14715.19,77.6,0,28,0,265.5
12/18/2015 6:00,36.6,6.774,14742.26,156,0,5,0,605
12/18/2015 7:00,147.026,9.18,14457.74,613.2,5,27,678,1740.4333
12/18/2015 8:00,124.928,4.424,14272.82,523.6,748,2,1041,291.13333
12/18/2015 9:00,97.76,5.11,14244.28,409,310,29,1036,254.33333
12/18/2015 10:00,78.578,3.17,14344.83,325.6,0,0,1050,259.63333
12/18/2015 11:00,93.716,7.64,14386.26,388.2,0,31,1056,474.93332
12/18/2015 12:00,105.364,5.238,14554.8,434.8,0,0,1081,675.06665
12/18/2015 13:00,100.924,7.59,14517.25,416.4,0,32,1042,608.06665
12/18/2015 14:00,103.982,2.958,14531.79,425.80002,0,0,1043,690.0333
12/18/2015 15:00,107.058,6.244,14545.41,438.6,0,31,1079,674.3
12/18/2015 16:00,116.958,12.266,14542.84,485.8,0,0,1079,870.3
12/18/2015 17:00,129.294,5.868,14323.75,539.6,0,20,1047,1087.9
12/18/2015 18:00,144.152,4.746,14200.11,605,0,15,1015,1372.5333
12/18/2015 19:00,156.87,12.0460005,14119.75,671.4,0,546,0,2068.5
12/18/2015 20:00,183.034,7.222,14071.46,782.8,0,30,795,2225.5667
12/18/2015 21:00,130.184,4.304,14255.45,554.4,0,0,223,1946.7333
12/18/2015 22:00,104.328,6.478,14412.69,435,0,531,0,1207.8
12/18/2015 23:00,92.836,7.9500003,14559.56,396,0,1219,0,328.26666
12/19/2015 0:00,50.228,5.57,14524.27,212.6,0,58,489,290.13333
12/19/2015 1:00,21.182,4.552,14508.5,94.2,0,15,44,294.03333
12/19/2015 2:00,19.634,6.344,14746.77,87.8,0,38,0,289.23334
12/19/2015 3:00,18.498,4.38,14667.79,81.8,0,10,0,298.3
12/19/2015 4:00,19.67,6.1480002,14651.19,90,0,43,0,284.83334
12/19/2015 5:00,18.4,4.252,14584.55,82.8,0,10,0,296.66666
12/19/2015 6:00,47.78,6.408,14521.78,208,0,41,0,755.3333
12/19/2015 7:00,107.138,5.066,14365.57,452.6,0,0,444,1341.6333
12/19/2015 8:00,232.742,7.346,14168.78,992.39996,561,1571,1026,721.0333
12/19/2015 9:00,97.066,5.248,14374.34,417.80002,278,862,196,281.76666
12/19/2015 10:00,26.228,7.546,14538.34,116.6,0,85,0,352.13333
12/19/2015 11:00,139.298,5.072,14419.5,591.8,0,2061,0,260.63333
12/19/2015 12:00,25.84,7.962,14577.52,115.4,0,175,0,255.66667
12/19/2015 13:00,18.028,4.906,14616.15,77.6,0,37,0,263.46667
12/19/2015 14:00,18.128,7.132,14816.75,80,0,45,0,257.13333
12/19/2015 15:00,25.282,4.852,14504.44,108.4,0,10,133,278.36667
12/19/2015 16:00,82.328,5.5,14562.86,336.8,0,43,1082,247.13333
12/19/2015 17:00,126.69,8.666,14316.4,530.6,0,10,1046,1055.5
12/19/2015 18:00,132.282,6.198,14258.43,555.4,0,44,1038,1122.7
12/19/2015 19:00,110.526,4.376,14464.8,456.2,0,3,699,1140.1
12/19/2015 20:00,176.432,14.242,14479.69,748.8,0,1614,0,1326.5333
12/19/2015 21:00,86.572,6.39,14452.2,380.6,0,747,0,695.8667
