datetime,TotalActivePower,TotalReactivePower,Voltage,CurrentIntensity,Device_1,Device_2,Device_3,Rest_active_power
12/31/2015,41826.754,2889.918,5310733,176651,27460,48783,163022,457847.53
1/31/2016,69014.875,5922.628,10754002,292253.6,56433,79275,329596,684943.9
2/28/2016,56493.766,4582.114,9697749,238483.6,47586,64607,270310,559059.75
3/31/2016,58864.473,5122.336,10736518,248781.8,60769,104762,290378,525165.56
4/30/2016,37780.074,5102.864,10326369,162377.2,45622,39878,201183,342984.9
5/31/2016,44008.87,5148.894,10498362,191838.8,75737,72132,229448,356164.2
6/30/2016,35763.258,6324.998,10319411,155858.2,59810,70171,189533,276540.3
7/31/2016,29830.434,5699.068,10609960,131595.2,43163,56035,155038,242937.9
8/31/2016,34100.793,5036.046,10621423,147825.8,36251,49711,225442,256942.56
9/30/2016,41882.812,5444.11,10343114,180378,52916,75277,226409,343444.88
10/31/2016,49278.42,4171.614,10701362,208788.6,43218,87914,256080,434095
11/30/2016,55921.81,4171.142,10405555,235267,50823,73667,299690,507850.12
12/31/2016,72604.78,4950.612,10790640,304420.8,74090,82931,362423,690635.6
1/31/2017,65173.105,3908.306,10742443,275961.6,61762,62911,312191,649354.4
2/29/2017,49335.543,3639.876,10047578,207728.6,40192,56648,255971,469448.03
3/31/2017,55594.38,4531.582,10772760,233693.6,63148,79277,279687,504460.97
4/30/2017,48209.992,5361.76,10420755,202913,47080,70871,295678,389870.88
5/31/2017,45722.797,6896.918,10730030,195701.6,53084,58908,290621,359433.6
6/30/2017,42945.32,6550.548,10323728,185824.6,68728,63449,290121,293457.38
7/31/2017,35480.28,6551.896,10703375,154623.8,47313,44416,227265,272344
8/31/2017,12342.34,5705.394,10732929,56405.6,3873,22264,79667,99901.664
9/30/2017,42667.793,5399.154,10373382,181973.4,52376,44590,284282,329881.88
10/31/2017,50754.504,4717.346,10728241,214205.4,44093,63242,276666,461907.38
11/30/2017,59943.6,4377.996,10393297,253461,58267,55889,280768,604136
12/31/2017,56937.367,4080.092,10851151,236861.2,45107,39459,308597,555793.1
1/31/2018,62952.805,4396.704,10882928,261911.6,74651,72953,329624,571985.4
2/28/2018,50382.125,3883.638,9773428,210020,47819,50727,296890,444266.1
3/31/2018,54760.61,4657.542,10816436,229846.8,64645,48427,328697,470907.8
4/30/2018,49279.617,5315.412,10438550,208082.6,54515,52604,307877,406330.97
5/31/2018,45211.496,5338.356,10718908,191951.6,43570,50100,311051,348803.94
6/30/2018,36049.53,5782.358,10413008,154638.6,33380,30887,276251,260307.53
7/31/2018,27597.129,7488.846,10803676,121004.2,18226,42528,187938,211260.14
8/31/2018,29485.072,8397.608,10770680,130241.2,34023,38607,194896,223891.86
9/30/2018,42635.11,6648.408,10417519,182005,51602,46144,296602,316237.12
10/31/2018,51090.16,5866.598,10753512,215109,54728,53729,327523,415522.66
11/30/2018,55072.156,5473.938,10452091,230439.6,60445,53510,335548,468366.3
12/31/2018,60907.977,5792.176,10895834,252742.2,57803,53490,383946,519893.94
1/31/2019,63588.7,5638.36,10873398,264219,57493,64008,421978,516332.66
2/28/2019,55475.637,4130.268,9771473,230463.4,49268,53592,411750,409983.97
3/31/2019,50558.613,5582.782,10800893,211548.6,35089,61613,345630,400311.56
4/30/2019,44378.65,5393.7,10445017,185982.4,38196,36476,336092,328880.12
5/31/2019,48894.836,5454.264,10730082,206727.4,48107,52376,364644,349786.9
6/30/2019,41887.21,6484.998,10404371,180109.6,65747,47676,306953,277744.16
7/31/2019,32188.947,7386.946,10738065,139761.4,17667,34359,192912,291544.47
8/31/2019,28227.98,5586.826,10766724,121846,17199,30888,190186,232193.33
9/30/2019,41188.2,5426.414,10416490,175141.4,43687,35166,292733,314883.97
10/31/2019,51934.867,6140.8,10809994,218248.6,48201,60222,315688,441470.12
11/30/2019,44598.387,4128.708,8970020,188465.4,46162,42282,247113,407749.47
